Date,Price
2015-Feb-01,2.87
2015-Mar-01,2.83
2015-Apr-01,2.61
2015-May-01,2.85
2015-Jun-01,2.78
2015-Jul-01,2.84
2015-Aug-01,2.77
2015-Sep-01,2.66
2015-Oct-01,2.34
2015-Nov-01,2.09
2015-Dec-01,1.93
2016-Jan-01,2.28
2016-Feb-01,1.99
2016-Mar-01,1.73
2016-Apr-01,1.92
2016-May-01,1.92
2016-Jun-01,2.59
2016-Jul-01,2.82
2016-Aug-01,2.82
2016-Sep-01,2.99
2016-Oct-01,2.98
2016-Nov-01,2.55
2016-Dec-01,3.59
2017-Jan-01,3.30
2017-Feb-01,2.85
2017-Mar-01,2.88
2017-Apr-01,3.10
2017-May-01,3.15
2017-Jun-01,2.98
2017-Jul-01,2.98
2017-Aug-01,2.90
2017-Sep-01,2.98
2017-Oct-01,2.88
2017-Nov-01,3.01
2017-Dec-01,2.82
2018-Jan-01,3.87
2018-Feb-01,2.67
2018-Mar-01,2.69
2018-Apr-01,2.80
2018-May-01,2.80
2018-Jun-01,2.97
2018-Jul-01,2.83
2018-Aug-01,2.96
2018-Sep-01,3.00
2018-Oct-01,3.28
2018-Nov-01,4.09
2018-Dec-01,4.04
2019-Jan-01,3.11
2019-Feb-01,2.69
2019-Mar-01,2.95
2019-Apr-01,2.65
2019-May-01,2.64
2019-Jun-01,2.40
2019-Jul-01,2.37
2019-Aug-01,2.22
2019-Sep-01,2.56
2019-Oct-01,2.33
2019-Nov-01,2.65
2019-Dec-01,2.22
2020-Jan-01,2.02
2020-Feb-01,1.91
2020-Mar-01,1.79
2020-Apr-01,
2020-May-01,
2020-Jun-01,
2020-Jul-01,
2020-Aug-01,
2020-Sep-01,
2020-Oct-01,
2020-Nov-01,
2020-Dec-01,
